Process_ID,Stage_1_Time,Stage_2_Time,Stage_3_Time,Total_Time,Delay_Flag
P0220,12.22,35.6,10.57,58.39,0
P0221,14.1,24.64,18.46,57.2,0
P0222,15.97,35.32,14.16,65.45,1
P0223,15.71,28.29,18.43,62.43,1
P0224,10.66,31.26,14.03,55.95,0
P0225,15.36,17.79,12.5,45.65,0
P0226,15.91,29.19,19.17,64.27,1
P0227,25.07,30.83,18.75,74.65,1
P0228,22.51,20.39,20.9,63.8,1
P0229,11.59,29.48,28.93,70.0,1
P0230,13.85,29.53,19.39,62.77,1
P0231,9.15,20.6,20.43,50.18,0
P0232,12.64,16.02,12.61,41.27,0
P0233,16.26,15.53,11.57,43.36,0
P0234,19.82,25.69,25.91,71.42,1
P0235,12.08,27.62,13.38,53.08,0
P0236,12.38,18.66,12.78,43.82,0
P0237,6.41,25.21,17.8,49.42,0
P0238,14.35,29.56,17.55,61.46,0
P0239,10.75,29.95,13.49,54.19,0
P0240,12.88,37.42,16.48,66.78,1
P0241,11.49,35.22,24.15,70.86,1
P0242,14.62,16.99,13.97,45.58,0
P0243,7.97,38.47,11.03,57.47,0
P0244,9.13,20.75,22.71,52.59,0
P0245,23.52,33.36,20.46,77.34,1
P0246,9.85,25.54,14.9,50.29,0
P0247,10.61,21.7,10.09,42.4,0
P0248,22.35,10.54,14.28,47.17,0
P0249,26.62,23.63,17.73,67.98,1
P0250,10.31,12.52,23.83,46.66,0
P0251,13.53,32.74,12.82,59.09,0
P0252,16.37,37.13,17.58,71.08,1
P0253,21.91,18.62,21.38,61.91,0
P0254,11.05,27.42,6.09,44.56,0
P0255,14.02,19.2,23.17,56.39,0
P0256,18.11,19.97,12.09,50.17,0
P0257,16.74,31.2,19.66,67.6,1
P0258,13.5,24.69,19.23,57.42,0
P0259,14.46,38.92,23.42,76.8,1
P0260,9.5,21.14,20.75,51.39,0
P0261,14.05,32.99,6.11,53.15,0
P0262,13.93,25.78,14.08,53.79,0
P0263,15.93,31.37,18.69,65.99,1
P0264,12.78,21.42,17.03,51.23,0
P0265,16.89,24.6,20.39,61.88,0
P0266,19.05,24.08,21.95,65.08,1
P0267,15.62,18.31,21.04,54.97,0
P0268,16.41,30.3,16.93,63.64,1
P0269,15.21,30.2,8.77,54.18,0
P0270,15.0,29.75,15.72,60.47,0
P0271,12.11,37.3,20.08,69.49,1
P0272,16.27,36.59,12.55,65.41,1
P0273,14.61,22.0,21.16,57.77,0
P0274,23.37,27.98,22.54,73.89,1
P0275,21.29,20.01,18.63,59.93,0
P0276,16.54,25.19,2.68,44.41,0
P0277,11.95,20.2,11.61,43.76,0
P0278,10.55,37.96,27.43,75.94,1
P0279,19.76,27.91,15.27,62.94,1
P0280,16.05,23.26,8.08,47.39,0
P0281,16.92,34.55,24.18,75.65,1
P0282,8.02,7.64,18.07,33.73,0
P0283,18.71,8.89,23.52,51.12,0
P0284,16.82,31.37,19.38,67.57,1
P0285,10.56,25.48,20.29,56.33,0
P0286,13.11,27.0,19.82,59.93,0
P0287,16.05,14.39,21.49,51.93,0
P0288,15.21,24.81,29.39,69.41,1
P0289,13.83,41.03,22.86,77.72,1
P0290,14.59,31.59,10.1,56.28,0
P0291,13.99,26.36,20.23,60.58,0
P0292,15.61,21.49,23.71,60.81,0
P0293,20.89,21.84,24.01,66.74,1
P0294,4.73,7.97,15.87,28.57,0
P0295,14.05,27.06,23.82,64.93,1
P0296,15.71,31.76,22.64,70.11,1
P0297,16.18,12.4,30.86,59.44,0
P0298,13.51,19.71,14.25,47.47,0
P0299,7.97,15.74,15.46,39.17,0
P0300,16.31,17.28,16.47,50.06,0
P0301,21.91,25.43,15.55,62.89,1
P0302,8.86,8.32,13.55,30.73,0
P0303,18.46,29.91,4.19,52.56,0
P0304,13.69,31.03,15.83,60.55,0
P0305,14.75,22.99,19.85,57.59,0
P0306,10.79,5.15,15.53,31.47,0
P0307,13.66,17.03,27.68,58.37,0
P0308,20.2,34.86,18.07,73.13,1
P0309,17.33,2.78,24.46,44.57,0
P0310,21.93,22.22,19.31,63.46,1
P0311,19.71,15.56,22.13,57.4,0
P0312,16.76,31.44,19.4,67.6,1
P0313,21.98,19.6,24.84,66.42,1
P0314,16.76,28.23,18.28,63.27,1
P0315,18.31,29.52,20.48,68.31,1
P0316,13.81,39.69,19.83,73.33,1
P0317,15.27,23.38,16.56,55.21,0
P0318,12.21,28.01,20.02,60.24,0
P0319,18.96,13.12,29.17,61.25,0
P0320,10.29,34.52,16.65,61.46,0
P0321,18.13,18.92,20.1,57.15,0
P0322,14.24,20.51,24.29,59.04,0
P0323,19.68,24.82,23.7,68.2,1
P0324,18.0,12.5,18.06,48.56,0
P0325,22.28,26.83,6.08,55.19,0
P0326,17.92,32.74,20.58,71.24,1
P0327,8.71,27.34,6.9,42.95,0
P0328,14.73,12.29,25.35,52.37,0
P0329,10.31,24.01,18.85,53.17,0
P0330,12.93,30.94,23.0,66.87,1
P0331,21.04,9.98,13.49,44.51,0
P0332,17.55,16.4,10.24,44.19,0
P0333,12.2,32.01,19.3,63.51,1
P0334,10.95,27.16,17.83,55.94,0
P0335,15.13,28.3,15.54,58.97,0
P0336,10.13,39.88,18.42,68.43,1
P0337,12.32,28.75,31.84,72.91,1
P0338,16.25,30.26,22.17,68.68,1
P0339,19.62,46.69,23.25,89.56,1
P0340,17.44,23.29,22.22,62.95,1
P0341,5.83,18.62,25.4,49.85,0
P0342,16.22,28.42,17.05,61.69,0
P0343,15.29,28.51,7.73,51.53,0
P0344,16.66,20.79,17.06,54.51,0
P0345,21.46,16.74,22.06,60.26,0
P0346,6.75,43.48,13.15,63.38,1
P0347,12.64,27.61,17.12,57.37,0
P0348,17.36,19.14,14.54,51.04,0
P0349,8.67,32.33,25.51,66.51,1
P0350,20.9,24.13,21.75,66.78,1
P0351,16.47,22.98,21.26,60.71,0
P0352,18.39,29.5,21.11,69.0,1
P0353,12.72,14.66,17.81,45.19,0
P0354,18.26,27.82,18.99,65.07,1
P0355,19.27,40.3,12.07,71.64,1
P0356,15.93,28.73,7.07,51.73,0
P0357,15.94,21.99,18.75,56.68,0
P0358,16.08,20.94,19.62,56.64,0
P0359,11.55,21.72,24.05,57.32,0
P0360,14.41,22.97,25.86,63.24,1
P0361,14.39,21.98,25.85,62.22,1
P0362,16.53,32.33,13.01,61.87,0
P0363,19.0,11.13,16.24,46.37,0
P0364,10.77,31.9,20.4,63.07,1
P0365,14.5,21.96,30.66,67.12,1
P0366,20.93,28.02,25.4,74.35,1
P0367,12.03,15.98,23.6,51.61,0
P0368,11.71,35.63,16.06,63.4,1
P0369,15.81,34.97,13.58,64.36,1
P0370,18.38,32.68,21.94,73.0,1
P0371,15.05,12.88,12.5,40.43,0
P0372,20.32,31.63,16.81,68.76,1
P0373,18.43,28.24,17.43,64.1,1
P0374,18.37,12.16,25.96,56.49,0
P0375,17.22,24.81,16.23,58.26,0
P0376,24.31,27.92,5.8,58.03,0
P0377,14.18,29.45,20.52,64.15,1
P0378,6.99,26.42,14.5,47.91,0
P0379,21.42,27.33,18.21,66.96,1
P0380,13.17,36.79,17.57,67.53,1
P0381,15.43,34.81,16.63,66.87,1
P0382,20.24,2.06,21.95,44.25,0
P0383,8.59,22.46,10.34,41.39,0
P0384,9.99,23.68,15.41,49.08,0
P0385,8.59,10.98,21.42,40.99,0
P0386,11.82,25.75,14.93,52.5,0
P0387,16.76,34.99,9.96,61.71,0
P0388,17.1,16.31,21.34,54.75,0
P0389,16.11,27.69,23.62,67.42,1
P0390,9.35,17.67,17.78,44.8,0
P0391,5.76,19.62,8.2,33.58,0
P0392,15.22,36.82,21.53,73.57,1
P0393,13.11,20.66,9.7,43.47,0
P0394,16.84,28.7,19.54,65.08,1
P0395,17.81,10.03,13.56,41.4,0
P0396,15.55,39.9,12.2,67.65,1
P0397,18.04,29.82,15.79,63.65,1
P0398,15.92,23.54,17.08,56.54,0
P0399,17.12,29.6,14.78,61.5,0
P0400,12.18,13.72,20.94,46.84,0
P0401,14.28,34.46,15.77,64.51,1
P0402,15.79,22.41,22.9,61.1,0
P0403,18.28,23.37,19.41,61.06,0
P0404,13.43,21.07,14.51,49.01,0
P0405,17.08,20.35,13.67,51.1,0
P0406,13.94,30.56,9.76,54.26,0
P0407,14.53,27.05,19.45,61.03,0
P0408,18.32,30.21,16.23,64.76,1
P0409,7.03,24.93,6.14,38.1,0
P0410,9.81,29.11,15.32,54.24,0
P0411,9.07,21.65,13.49,44.21,0
P0412,5.67,42.84,25.88,74.39,1
P0413,12.29,12.46,9.49,34.24,0
P0414,18.0,35.09,10.79,63.88,1
P0415,13.86,35.94,23.55,73.35,1
P0416,15.79,18.18,24.78,58.75,0
P0417,19.36,42.83,14.28,76.47,1
P0418,20.31,32.96,14.84,68.11,1
P0419,14.72,32.77,21.08,68.57,1
P0420,20.41,25.22,6.36,51.99,0
P0421,15.37,23.26,8.69,47.32,0
P0422,11.65,23.32,16.6,51.57,0
P0423,12.62,28.12,25.75,66.49,1
P0424,9.08,36.21,15.82,61.11,0
P0425,11.45,26.45,18.5,56.4,0
P0426,13.57,17.71,23.67,54.95,0
P0427,18.21,31.6,28.53,78.34,1
P0428,21.88,32.37,15.12,69.37,1
P0429,9.47,30.24,17.92,57.63,0
P0430,16.57,30.96,27.11,74.64,1
P0431,10.84,22.83,10.39,44.06,0
P0432,16.9,17.57,23.14,57.61,0
P0433,14.48,18.05,12.91,45.44,0
P0434,7.68,11.92,18.51,38.11,0
P0435,18.71,26.9,16.79,62.4,1
P0436,12.58,24.33,13.21,50.12,0
P0437,12.86,21.48,13.08,47.42,0
P0438,10.72,1.36,19.38,31.46,0
P0439,12.38,15.02,22.98,50.38,0
P0440,16.71,33.97,17.35,68.03,1
P0441,14.24,19.68,18.35,52.27,0
P0442,16.31,27.88,20.86,65.05,1
P0443,16.45,13.87,13.14,43.46,0
P0444,20.28,36.51,21.7,78.49,1
P0445,13.63,23.85,22.1,59.58,0
P0446,9.09,27.32,31.02,67.43,1
P0447,19.27,43.61,16.12,79.0,1
P0448,13.67,37.13,15.71,66.51,1
P0449,19.46,22.55,21.84,63.85,1
P0450,16.53,20.25,22.1,58.88,0
P0451,14.48,22.4,15.32,52.2,0
P0452,16.4,29.08,15.98,61.46,0
P0453,22.8,24.16,20.71,67.67,1
P0454,23.31,21.84,13.86,59.01,0
P0455,15.28,36.74,15.95,67.97,1
P0456,15.64,24.09,18.45,58.18,0
P0457,19.3,43.4,22.98,85.68,1
P0458,11.62,25.73,14.98,52.33,0
P0459,16.33,39.28,8.79,64.4,1
P0460,14.9,27.86,8.42,51.18,0
P0461,16.26,32.7,11.7,60.66,0
P0462,11.67,19.2,11.43,42.3,0
P0463,8.64,18.17,17.23,44.04,0
P0464,6.71,28.68,12.06,47.45,0
P0465,10.53,32.91,14.49,57.93,0
P0466,13.17,25.32,14.13,52.62,0
P0467,13.83,14.71,15.8,44.34,0
P0468,22.75,14.12,24.61,61.48,0
P0469,19.42,13.58,21.31,54.31,0
P0470,11.15,10.86,18.08,40.09,0
P0471,16.39,25.88,15.69,57.96,0
P0472,13.37,34.0,15.83,63.2,1
P0473,13.86,24.89,19.64,58.39,0
P0474,15.74,6.92,20.92,43.58,0
P0475,17.48,23.47,13.46,54.41,0
P0476,13.64,23.7,18.18,55.52,0
P0477,19.26,41.77,7.84,68.87,1
P0478,10.43,13.34,19.06,42.83,0
P0479,15.03,21.87,21.81,58.71,0
P0480,25.39,38.65,16.6,80.64,1
P0481,15.89,28.6,27.08,71.57,1
P0482,20.73,29.51,13.59,63.83,1
P0483,15.37,25.92,19.09,60.38,0
P0484,17.32,27.64,17.82,62.78,1
P0485,14.77,31.22,17.5,63.49,1
P0486,14.32,18.52,17.43,50.27,0
P0487,11.88,32.02,18.54,62.44,1
P0488,16.72,14.02,22.24,52.98,0
P0489,11.59,27.63,24.89,64.11,1
P0490,17.66,26.43,17.99,62.08,1
P0491,19.34,20.07,22.08,61.49,0
P0492,16.47,24.82,14.49,55.78,0
P0493,13.86,20.02,21.83,55.71,0
P0494,16.82,16.43,14.19,47.44,0
P0495,13.77,22.17,23.45,59.39,0
P0496,18.74,16.17,29.05,63.96,1
P0497,7.67,27.58,17.39,52.64,0
P0498,13.66,15.8,7.04,36.5,0
P0499,7.04,30.7,15.26,53.0,0
P0500,9.02,15.55,24.16,48.73,0
P0501,20.46,20.47,20.77,61.7,0
P0502,18.58,20.0,19.24,57.82,0
P0503,12.12,35.6,23.04,70.76,1
P0504,8.99,27.64,20.42,57.05,0
P0505,3.14,23.31,24.09,50.54,0
P0506,12.83,28.99,22.6,64.42,1
P0507,24.68,8.14,25.61,58.43,0
P0508,16.74,24.65,19.79,61.18,0
P0509,12.76,40.98,22.53,76.27,1
P0510,16.86,26.06,16.46,59.38,0
P0511,8.76,25.54,14.99,49.29,0
P0512,13.81,29.39,26.53,69.73,1
P0513,15.4,32.16,19.08,66.64,1
P0514,14.66,9.02,22.02,45.7,0
P0515,18.16,11.54,18.62,48.32,0
P0516,16.38,26.68,15.07,58.13,0
P0517,17.67,19.28,18.05,55.0,0
P0518,12.25,35.5,25.18,72.93,1
P0519,18.59,22.48,20.78,61.85,0
P0520,21.52,9.52,9.44,40.48,0
P0521,11.12,14.86,16.92,42.9,0
P0522,11.45,3.0,26.91,41.36,0
P0523,20.34,23.13,16.93,60.4,0
P0524,14.23,23.49,9.0,46.72,0
P0525,20.62,21.6,27.47,69.69,1
P0526,13.23,33.63,21.41,68.27,1
P0527,20.82,34.59,17.65,73.06,1
P0528,15.53,23.64,16.14,55.31,0
P0529,16.03,7.92,23.41,47.36,0
P0530,21.26,29.94,15.29,66.49,1
P0531,13.55,29.44,23.74,66.73,1
P0532,11.24,27.48,20.71,59.43,0
P0533,13.21,32.85,19.22,65.28,1
P0534,16.81,15.68,18.73,51.22,0
P0535,8.74,41.07,17.13,66.94,1
P0536,17.55,17.32,23.23,58.1,0
P0537,12.84,30.99,13.67,57.5,0
P0538,19.59,11.5,9.89,40.98,0
P0539,5.42,17.56,21.07,44.05,0
P0540,11.85,37.13,21.16,70.14,1
P0541,8.25,22.91,20.4,51.56,0
P0542,11.7,31.72,20.04,63.46,1
P0543,15.99,26.9,16.4,59.29,0
P0544,14.28,24.16,21.94,60.38,0
P0545,13.99,35.91,17.77,67.67,1
P0546,14.36,23.11,15.56,53.03,0
P0547,15.81,10.75,16.44,43.0,0
P0548,10.97,18.57,28.1,57.64,0
P0549,17.83,29.41,9.33,56.57,0
P0550,17.65,28.16,20.5,66.31,1
P0551,16.54,12.46,9.6,38.6,0
P0552,17.23,19.21,17.46,53.9,0
P0553,16.19,20.35,15.83,52.37,0
P0554,23.14,22.08,7.57,52.79,0
P0555,14.65,13.99,19.95,48.59,0
P0556,13.77,19.97,16.1,49.84,0
P0557,11.99,19.17,7.5,38.66,0
P0558,10.87,31.17,22.2,64.24,1
P0559,10.02,31.47,25.18,66.67,1
P0560,11.44,23.83,25.45,60.72,0
P0561,14.72,21.86,19.79,56.37,0
P0562,16.34,26.12,18.23,60.69,0
P0563,15.2,18.47,24.64,58.31,0
P0564,11.94,15.83,26.41,54.18,0
P0565,18.6,17.48,23.67,59.75,0
P0566,17.96,19.92,13.29,51.17,0
P0567,14.36,15.69,19.01,49.06,0
P0568,12.39,26.3,20.2,58.89,0
P0569,17.19,30.84,8.95,56.98,0
P0570,15.75,12.3,20.35,48.4,0
P0571,9.21,25.2,29.36,63.77,1
P0572,14.73,23.24,21.2,59.17,0
P0573,16.05,27.73,25.37,69.15,1
P0574,11.4,24.9,18.91,55.21,0
P0575,15.76,13.37,17.63,46.76,0
P0576,9.18,14.9,19.91,43.99,0
P0577,20.34,25.24,13.92,59.5,0
P0578,19.99,33.23,13.18,66.4,1
P0579,13.99,7.29,24.33,45.61,0
P0580,16.45,27.77,24.86,69.08,1
P0581,5.36,34.52,13.04,52.92,0
P0582,10.37,23.78,22.84,56.99,0
P0583,13.82,29.4,17.57,60.79,0
P0584,10.71,19.38,19.7,49.79,0
P0585,17.86,24.05,20.3,62.21,1
P0586,22.99,12.03,22.97,57.99,0
P0587,10.29,6.25,18.41,34.95,0
P0588,11.65,32.54,25.05,69.24,1
P0589,15.94,17.12,19.55,52.61,0
P0590,21.44,21.36,21.12,63.92,1
P0591,10.11,13.91,13.83,37.85,0
P0592,16.0,13.72,28.79,58.51,0
P0593,22.29,23.61,20.35,66.25,1
P0594,8.39,19.16,21.56,49.11,0
P0595,9.88,28.02,9.96,47.86,0
P0596,13.31,28.62,13.89,55.82,0
P0597,12.92,27.57,24.19,64.68,1
P0598,18.25,26.91,19.43,64.59,1
P0599,15.97,37.62,8.43,62.02,1
P0600,7.9,16.46,23.19,47.55,0
P0601,17.06,24.56,15.28,56.9,0
P0602,12.69,34.06,25.06,71.81,1
P0603,20.1,35.12,17.56,72.78,1
P0604,12.49,13.63,19.02,45.14,0
P0605,12.45,22.5,23.89,58.84,0
P0606,17.16,35.86,13.51,66.53,1
P0607,18.05,29.06,13.04,60.15,0
P0608,16.79,26.56,17.02,60.37,0
P0609,8.26,23.26,22.14,53.66,0
P0610,17.15,21.93,11.35,50.43,0
P0611,10.86,27.31,9.66,47.83,0
P0612,15.94,22.98,22.12,61.04,0
P0613,9.31,24.66,14.99,48.96,0
P0614,16.79,25.63,16.04,58.46,0
P0615,11.77,19.58,8.72,40.07,0
P0616,9.87,29.26,14.61,53.74,0
P0617,17.86,48.31,17.96,84.13,1
P0618,15.97,10.78,22.65,49.4,0
P0619,12.54,27.59,14.14,54.27,0
P0620,20.8,18.92,26.29,66.01,1
P0621,13.24,29.62,14.58,57.44,0
P0622,15.13,25.37,14.58,55.08,0
P0623,16.08,31.09,25.69,72.86,1
P0624,12.52,34.4,19.06,65.98,1
P0625,16.88,26.54,15.24,58.66,0
P0626,12.87,34.06,17.22,64.15,1
P0627,13.35,6.25,24.77,44.37,0
P0628,20.45,37.72,25.33,83.5,1
P0629,10.84,28.0,13.92,52.76,0
P0630,5.35,33.62,17.79,56.76,0
P0631,21.44,15.24,18.45,55.13,0
P0632,25.2,18.35,13.07,56.62,0
